Номер теста;Задержка сигнала (мкс);СРЕДНЯЯ задержка сигнала (мкс)
527;215;314
528;223;314
529;682;315
530;209;315
531;223;314
532;198;314
533;691;315
534;223;315
535;1648;317
536;225;317
537;214;317
538;216;317
539;230;316
540;204;316
541;216;316
542;224;316
543;205;316
544;210;316
545;222;315
546;199;315
547;213;315
548;218;315
549;232;315
550;207;314
551;221;314
552;231;314
553;207;314
554;212;314
555;230;314
556;204;313
557;227;313
558;226;313
559;681;314
560;213;314
561;231;313
562;203;313
563;697;314
564;225;314
565;207;314
566;215;313
567;704;314
568;204;314
569;217;314
570;231;314
571;684;314
572;217;314
573;231;314
574;205;314
575;702;314
576;225;314
577;208;314
578;215;314
579;674;314
580;208;314
581;226;314
582;229;314
583;690;315
584;222;314
585;217;314
586;215;314
587;216;314
588;215;314
589;228;314
590;202;313
591;214;313
592;221;313
593;207;313
594;210;313
595;226;313
596;199;312
597;212;312
598;220;312
599;204;312
600;213;312
601;228;312
602;199;311
603;212;311
604;222;311
605;212;311
606;207;311
607;222;311
608;196;310
609;690;311
610;218;311
611;230;311
612;208;311
613;702;311
614;200;311
615;209;311
616;217;311
617;704;311
618;208;311
619;222;311
620;225;311
621;681;312
622;218;311
623;226;311
624;198;311
625;698;312
626;222;312
627;211;311
628;208;311
629;701;312
630;196;312
631;213;311
632;219;311
633;680;312
634;451;312
635;222;312
636;198;312
637;232;312
638;204;311
639;217;311
640;227;311
641;201;311
642;218;311
643;222;311
644;200;311
645;210;310
646;222;310
647;212;310
648;207;310
649;222;310
650;230;310
651;212;310
652;217;309
653;369;310
654;202;309
655;213;309
656;221;309
657;202;309
658;212;309
659;225;309
660;233;309
661;215;308
662;222;308
663;201;308
664;209;308
665;222;308
666;229;308
667;688;308
668;218;308
669;237;308
670;203;308
671;695;308
672;227;308
673;206;308
674;210;308
675;699;309
676;235;308
677;210;308
678;219;308
679;711;309
680;220;309
681;216;309
682;219;308
683;678;309
684;211;309
685;225;309
686;228;309
687;681;309
688;218;309
689;232;309
690;197;309
691;687;309
692;221;309
693;239;309
694;203;309
695;694;309
696;231;309
697;209;309
698;213;309
699;708;310
700;205;309
701;220;309
702;224;309
703;674;310
704;211;310
705;699;310
706;206;310
707;220;310
708;224;310
709;676;310
710;211;310
711;221;310
712;229;310
713;681;310
714;220;310
715;230;310
716;203;310
717;690;310
718;235;310
719;203;310
720;208;310
721;703;311
722;204;310
723;219;310
724;222;310
725;673;311
726;209;311
727;227;310
728;204;310
729;691;311
730;225;311
731;236;311
732;205;310
733;701;311
734;204;311
735;377;311
736;219;311
737;710;311
738;209;311
739;227;311
740;225;311
741;681;311
742;218;311
743;234;311
744;204;311
745;690;312
746;227;312
747;206;311
748;215;311
749;699;312
750;207;312
751;215;311
752;222;311
753;821;312
754;218;312
755;224;312
756;231;312
757;682;312
758;216;312
759;233;312
760;202;312
761;691;312
762;228;312
763;204;312
764;212;312
765;701;312
766;202;312
767;214;312
768;219;312
769;703;313
770;208;312
771;220;312
772;227;312
773;682;313
774;216;313
775;228;312
776;201;312
777;690;313
778;223;313
779;207;313
780;211;312
781;696;313
782;206;313
783;212;313
784;224;312
785;677;313
786;786;314
787;226;313
788;237;313
789;207;313
790;240;313
791;202;313
792;219;313
793;222;313
794;205;313
795;213;312
796;223;312
797;199;312
798;213;312
799;224;312
800;202;312
801;208;312
802;232;312
803;225;312
804;205;311
805;217;311
806;222;311
807;198;311
808;214;311
809;218;311
810;201;311
811;208;311
812;699;311
813;228;311
814;211;311
815;213;311
816;708;311
817;206;311
818;213;311
819;220;311
820;677;311
821;209;311
822;224;311
823;227;311
824;685;311
825;217;311
826;198;311
827;206;311
828;700;311
829;227;311
830;205;311
831;210;311
832;702;312
833;200;311
834;212;311
835;225;311
836;2166;313
837;226;313
838;223;313
839;680;314
840;218;314
841;225;313
842;231;313
843;685;314
844;214;314
845;230;314
846;203;313
847;695;314
848;223;314
849;202;314
850;214;313
851;692;314
852;248;314
853;213;314
854;216;314
855;704;314
856;204;314
857;215;314
858;222;314
859;677;314
860;212;314
861;222;314
862;228;314
863;686;314
864;218;314
865;233;314
866;203;314
867;698;314
868;231;314
869;210;314
870;217;314
871;704;314
872;202;314
873;221;314
874;224;314
875;677;315
876;214;314
877;225;314
878;198;314
879;691;315
880;218;315
881;229;314
882;202;314
883;691;315
884;228;315
885;206;314
886;5477;320
887;225;320
888;219;320
889;232;320
890;202;320
891;214;320
892;233;320
893;202;320
894;209;319
895;222;319
896;227;319
897;209;319
898;214;319
899;233;319
900;209;319
901;214;319
902;221;318
903;203;318
904;208;318
905;223;318
906;227;318
907;206;318
908;216;318
909;227;318
910;200;318
911;215;317
912;221;317
913;236;317
914;206;317
915;222;317
916;229;317
917;227;317
918;231;317
919;207;317
920;217;317
921;228;316
922;200;316
923;219;316
924;221;316
925;204;316
926;212;316
927;223;316
928;234;316
929;208;316
930;216;315
931;229;315
932;203;315
933;1749;317
934;238;317
935;205;317
936;207;316
937;223;316
938;232;316
939;206;316
940;211;316
941;230;316
942;202;316
943;215;316
944;228;316
945;201;315
946;692;316
947;222;316
948;208;316
949;211;316
950;701;316
951;232;316
952;204;316
953;216;316
954;708;316
955;206;316
956;208;316
957;224;316
958;678;316
959;206;316
960;222;316
961;228;316
962;692;316
963;218;316
964;223;316
965;206;316
966;693;316
967;223;316
968;228;316
969;211;316
970;698;316
971;236;316
972;199;316
973;214;316
974;710;316
975;203;316
976;206;316
977;218;316
978;712;317
979;210;316
980;214;316
981;234;316
982;684;317
983;212;316
984;2724;319
985;230;319
986;696;319
987;229;319
988;211;319
989;218;319
990;704;319
991;205;319
992;211;319
