Номер теста;Задержка сигнала (мкс);СРЕДНЯЯ задержка сигнала (мкс)
526;263;271
527;246;271
528;246;271
529;258;271
530;259;271
531;243;271
532;242;271
533;259;271
534;256;271
535;245;270
536;239;270
537;262;270
538;257;270
539;238;270
540;236;270
541;252;270
542;252;270
543;270;270
544;233;270
545;248;270
546;248;270
547;268;270
548;230;270
549;252;270
550;242;270
551;262;270
552;260;270
553;243;270
554;980;271
555;272;271
556;256;271
557;273;271
558;235;271
559;250;271
560;250;271
561;265;271
562;261;271
563;243;271
564;245;271
565;261;271
566;259;271
567;239;271
568;236;271
569;253;271
570;252;271
571;269;271
572;232;270
573;251;270
574;247;270
575;263;270
576;232;270
577;246;270
578;246;270
579;263;270
580;233;270
581;249;270
582;246;270
583;261;270
584;259;270
585;242;270
586;235;270
587;261;270
588;256;270
589;238;270
590;240;270
591;260;270
592;253;270
593;270;270
594;229;270
595;251;270
596;245;270
597;268;270
598;229;270
599;244;269
600;242;269
601;260;269
602;257;269
603;246;269
604;241;269
605;1606;272
606;267;272
607;248;271
608;241;271
609;258;271
610;254;271
611;239;271
612;235;271
613;255;271
614;254;271
615;237;271
616;233;271
617;253;271
618;252;271
619;269;271
620;232;271
621;250;271
622;248;271
623;269;271
624;229;271
625;246;271
626;246;271
627;267;271
628;233;271
629;247;271
630;244;271
631;265;271
632;228;271
633;246;270
634;243;270
635;257;270
636;226;270
637;249;270
638;243;270
639;262;270
640;225;270
641;248;270
642;240;270
643;260;270
644;257;270
645;242;270
646;238;270
647;261;270
648;254;270
649;239;270
650;236;270
651;253;270
652;253;270
653;244;270
654;236;270
655;258;270
656;815;270
657;252;270
658;239;270
659;258;270
660;261;270
661;274;270
662;238;270
663;258;270
664;257;270
665;242;270
666;236;270
667;255;270
668;254;270
669;274;270
670;239;270
671;254;270
672;252;270
673;272;270
674;236;270
675;388;270
676;251;270
677;268;270
678;226;270
679;247;270
680;242;270
681;258;270
682;253;270
683;237;270
684;234;270
685;252;270
686;252;270
687;267;270
688;236;270
689;256;270
690;247;270
691;272;270
692;227;270
693;250;270
694;243;270
695;263;270
696;227;269
697;248;269
698;248;269
699;264;269
700;259;269
701;246;269
702;244;269
703;266;269
704;259;269
705;244;269
706;237;269
707;257;269
708;1898;271
709;240;271
710;254;271
711;246;271
712;264;271
713;264;271
714;247;271
715;245;271
716;259;271
717;255;271
718;242;271
719;239;271
720;255;271
721;240;271
722;318;271
723;234;271
724;251;271
725;259;271
726;265;271
727;229;271
728;246;271
729;244;271
730;265;271
731;263;271
732;246;271
733;242;271
734;262;271
735;256;271
736;243;271
737;235;271
738;252;271
739;248;271
740;266;271
741;235;271
742;252;271
743;249;271
744;265;271
745;231;270
746;247;270
747;245;270
748;264;270
749;253;270
750;243;270
751;240;270
752;261;270
753;256;270
754;243;270
755;237;270
756;259;270
757;256;270
758;562;271
759;244;271
760;257;270
761;251;270
762;268;270
763;233;270
764;253;270
765;245;270
766;267;270
767;230;270
768;249;270
769;244;270
770;263;270
771;259;270
772;243;270
773;242;270
774;255;270
775;265;270
776;242;270
777;243;270
778;256;270
779;254;270
780;271;270
781;233;270
782;254;270
783;248;270
784;270;270
785;235;270
786;253;270
787;250;270
788;264;270
789;229;270
790;252;270
791;245;270
792;263;270
793;263;270
794;245;270
795;246;270
796;265;270
797;259;270
798;244;270
799;240;270
800;260;269
801;256;269
802;241;269
803;237;269
804;258;269
805;255;269
806;233;269
807;239;269
808;254;269
809;254;269
810;1698;271
811;248;271
812;254;271
813;251;271
814;271;271
815;236;271
816;258;271
817;253;271
818;271;271
819;236;271
820;254;271
821;256;271
822;240;271
823;239;271
824;252;271
825;266;271
826;246;271
827;238;271
828;258;271
829;255;271
830;242;271
831;238;270
832;258;270
833;254;270
834;273;270
835;236;270
836;251;270
837;251;270
838;274;270
839;236;270
840;253;270
841;248;270
842;271;270
843;232;270
844;251;270
845;246;270
846;266;270
847;231;270
848;252;270
849;246;270
850;265;270
851;261;270
852;245;270
853;246;270
854;262;270
855;255;270
856;241;270
857;235;270
858;254;270
859;255;270
860;364;270
861;232;270
862;256;270
863;250;270
864;269;270
865;236;270
866;249;270
867;247;270
868;270;270
869;228;270
870;249;270
871;242;270
872;260;270
873;259;270
874;241;270
875;250;270
876;261;270
877;259;270
878;241;270
879;234;270
880;256;269
881;257;269
882;269;269
883;235;269
884;253;269
885;251;269
886;275;269
887;237;269
888;253;269
889;250;269
890;266;269
891;231;269
892;246;269
893;247;269
894;268;269
895;231;269
896;247;269
897;245;269
898;265;269
899;261;269
900;243;269
901;240;269
902;259;269
903;255;269
904;240;269
905;237;269
906;256;269
907;253;269
908;272;269
909;233;269
910;250;269
911;732;269
912;280;269
913;231;269
914;249;269
915;243;269
916;261;269
917;256;269
918;242;269
919;238;269
920;257;269
921;258;269
922;272;269
923;235;269
924;253;269
925;257;269
926;271;269
927;234;269
928;251;269
929;245;269
930;272;269
931;231;269
932;249;269
933;247;269
934;263;269
935;229;269
936;248;269
937;245;269
938;267;269
939;266;269
940;233;269
941;246;269
942;262;269
943;262;269
944;242;269
945;236;269
946;256;269
947;254;269
948;269;269
949;229;269
950;253;269
951;250;269
952;265;269
953;230;269
954;250;269
955;247;268
956;265;268
957;257;268
958;243;268
959;237;268
960;256;268
961;252;268
962;275;268
963;1845;270
964;250;270
965;263;270
966;259;270
967;242;270
968;237;270
969;253;270
970;254;270
971;272;270
972;235;270
973;249;270
974;241;270
975;281;270
976;222;270
977;347;270
978;242;270
979;261;270
980;257;270
981;241;270
982;238;270
983;256;270
984;254;270
985;271;270
986;234;270
987;253;270
988;248;270
989;266;270
990;233;270
991;249;270
992;247;270
993;261;270
994;227;269
995;245;269
996;248;269
997;264;269
998;229;269
999;250;269
1000;246;269
1001;267;269
1002;260;269
1003;245;269
1004;244;269
1005;262;269
1006;258;269
1007;241;269
1008;240;269
1009;256;269
1010;253;269
1011;241;269
1012;238;269
1013;833;270
1014;257;270
1015;274;270
1016;238;270
1017;255;270
1018;249;270
1019;268;270
1020;231;270
1021;248;270
1022;248;269
1023;263;269
1024;226;269
1025;256;269
1026;247;269
1027;271;269
1028;233;269
1029;249;269
1030;245;269
1031;268;269
1032;231;269
1033;246;269
1034;244;269
1035;265;269
1036;260;269
1037;247;269
1038;243;269
1039;259;269
1040;256;269
1041;243;269
1042;243;269
1043;257;269
1044;248;269
1045;241;269
1046;236;269
1047;254;269
1048;254;269
1049;270;269
1050;235;269
1051;253;269
1052;250;269
1053;268;269
1054;237;269
1055;249;269
1056;247;269
1057;265;269
1058;232;269
1059;250;269
1060;245;269
1061;264;269
1062;263;269
1063;248;269
1064;963;269
1065;277;269
1066;229;269
1067;248;269
1068;245;269
1069;266;269
1070;263;269
1071;248;269
1072;248;269
1073;258;269
1074;253;269
1075;250;269
1076;240;269
1077;259;269
1078;255;269
1079;242;269
1080;238;269
1081;254;269
1082;254;269
1083;241;269
1084;237;269
1085;254;269
1086;252;269
1087;268;269
1088;233;269
1089;249;269
1090;246;269
1091;264;269
1092;258;269
1093;242;269
1094;243;269
1095;255;269
1096;245;269
1097;270;269
1098;231;269
1099;251;269
1100;250;269
1101;267;269
1102;229;269
1103;245;269
1104;240;269
1105;261;269
1106;256;269
1107;243;269
1108;236;269
1109;258;269
1110;256;269
1111;239;269
1112;235;269
1113;251;268
1114;246;268
1115;270;268
1116;235;268
