Номер теста;Задержка включения (us);СРЕДНЯЯ задержка включения (us);Задержка спада (us);СРЕДНЯЯ задержка спада (us);Длительность ответа (us);СРЕДНЯЯ длительность ответа (us)
5020;15;1019;22;1426;250010;250409
5021;2030;1020;25;1426;247996;250408
5022;2026;1020;4016;1427;251991;250409
5023;11;1020;4465;1427;254457;250409
5024;16;1019;13;1427;250001;250409
5025;1023;1019;17;1427;248994;250409
5026;15;1019;2976;1427;252964;250410
5027;1966;1019;17;1427;248053;250409
5028;12;1019;3960;1427;253948;250410
5029;16;1019;3985;1428;253973;250410
5030;11;1019;3990;1428;253982;250411
5031;1933;1019;3931;1429;252000;250412
5032;11;1019;14;1428;250006;250411
5033;1920;1019;3914;1429;251997;250412
5034;15;1019;9;1429;249997;250412
5035;1900;1019;9;1428;248112;250411
5036;7;1019;9;1428;250006;250411
5037;5748;1020;3877;1429;248130;250411
5038;11;1019;9;1428;250001;250411
5039;1871;1020;13;1428;248142;250410
5040;15;1019;14;1428;250002;250410
5041;1850;1020;3847;1428;251997;250410
5042;15;1019;9;1428;249997;250410
5043;11;1019;3819;1428;253811;250411
5044;7;1019;3814;1429;253811;250412
5045;11;1019;3819;1429;253811;250412
5046;5805;1020;17;1429;244212;250411
5047;20;1020;3794;1430;253777;250412
5048;12;1019;9;1429;249997;250412
5049;1772;1019;18;1429;248247;250411
5050;1768;1020;149;1429;248383;250411
5051;7;1019;9;1428;250006;250411
5052;11;1019;3735;1429;253727;250411
5053;11;1019;18;1429;250010;250411
5054;20;1019;3723;1429;253706;250412
5055;12;1019;3710;1430;253698;250413
5056;7;1018;3705;1430;253702;250413
5057;1698;1019;3689;1430;251994;250414
5058;1689;1019;9;1430;248323;250413
5059;20;1019;9;1430;249992;250413
5060;11;1018;9;1430;250001;250413
5061;1661;1018;9;1429;248348;250413
5062;1652;1019;9;1429;248357;250412
5063;1640;1019;9;1429;248369;250412
5064;11;1018;18;1428;250010;250412
5065;1656;1019;3635;1429;251979;250412
5066;1611;1019;13;1429;248403;250412
5067;11;1019;3610;1429;253602;250412
5068;7;1018;3601;1429;253598;250413
5069;1599;1018;13;1429;248415;250412
5070;1590;1019;3285;1430;251696;250413
5071;2569;1019;566;1429;247999;250412
5072;16;1019;9;1429;249997;250412
5073;1566;1019;3547;1430;251983;250413
5074;11;1019;3540;1430;253532;250413
5075;15;1018;3519;1430;253507;250414
5076;1520;1018;3527;1431;252009;250414
5077;15;1018;14;1430;250002;250414
5078;11;1018;14;1430;250006;250414
5079;7;1018;13;1430;250006;250414
5080;15;1018;7493;1431;257481;250415
5081;1479;1018;3472;1432;251996;250416
5082;1467;1018;3465;1432;252001;250416
5083;826;1018;9;1432;249183;250416
5084;1446;1018;3447;1432;252001;250416
5085;1454;1018;3443;1432;251989;250416
5086;1479;1018;9;1432;248533;250416
5087;1421;1018;17;1432;248596;250415
5088;15;1018;9;1432;249997;250415
5089;1413;1018;3402;1432;251989;250416
5090;7;1018;390;1432;250383;250416
5091;11;1018;18;1432;250010;250416
5092;2379;1018;365;1431;247988;250415
5093;11;1018;18;1431;250010;250415
5094;2358;1018;13;1431;247657;250415
5095;2354;1018;13;1430;247661;250414
5096;15;1018;324;1430;250312;250414
5097;11;1018;337;1430;250329;250414
5098;2330;1018;9;1430;247682;250413
5099;16;1018;4315;1430;254303;250414
5100;12;1018;17;1430;250005;250414
5101;2297;1018;14;1430;247720;250414
5102;7;1018;282;1430;250279;250414
5103;2280;1018;278;1429;247998;250413
5104;2264;1018;17;1429;247753;250413
5105;15;1018;18;1429;250006;250412
5106;2251;1018;249;1429;247998;250412
5107;7;1018;13;1428;250010;250412
5108;2239;1018;283;1428;248044;250411
5109;15;1018;14;1428;250002;250411
5110;2222;1018;207;1428;247986;250411
5111;2210;1019;9;1427;247800;250410
5112;2198;1019;187;1427;247990;250410
5113;7;1019;13;1427;250010;250410
5114;15;1018;174;1426;250162;250410
5115;2173;1019;13;1426;247842;250409
5116;7;1018;174;1426;250171;250409
5117;20;1018;166;1426;250149;250409
5118;7;1018;9;1425;250006;250409
5119;2132;1018;4124;1426;251994;250409
5120;11;1018;18;1426;250010;250409
5121;2112;1018;5;1425;247896;250409
5122;16;1018;99;1425;250087;250409
5123;11;1018;88;1425;250080;250409
5124;11;1018;4083;1425;254075;250409
5125;2079;1018;75;1425;248000;250409
5126;16;1018;66;1425;250054;250409
5127;15;1018;3202;1425;253190;250409
5128;11;1017;1138;1425;251130;250410
5129;11;1017;4678;1426;254670;250410
5130;15;1017;3049;1426;253037;250411
5131;2022;1017;21;1426;248000;250410
5132;11;1017;9;1426;250001;250410
5133;7;1017;4016;1426;254013;250411
5134;1995;1017;3985;1427;251991;250411
5135;7;1017;3980;1427;253977;250412
5136;11;1017;3977;1428;253969;250413
5137;15;1016;14;1427;250002;250413
5138;15;1016;9;1427;249997;250413
5139;15;1016;14;1427;250002;250413
5140;1945;1016;3935;1427;251992;250413
5141;1986;1016;3935;1428;251950;250413
5142;15;1016;4017;1428;254005;250414
5143;15;1016;9;1428;249997;250414
5144;11;1016;9;1428;250001;250414
5145;1892;1016;13;1427;248124;250413
5146;1892;1016;3910;1428;252021;250414
5147;1875;1016;3868;1428;251997;250414
5148;1867;1016;13;1428;248146;250413
5149;1854;1017;3851;1429;251997;250414
5150;11;1016;18;1428;250010;250414
5151;11;1016;3835;1429;253827;250414
5152;7;1016;9;1428;250006;250414
5153;1821;1016;3815;1429;251994;250415
