Номер теста;Задержка включения (us);СРЕДНЯЯ задержка включения (us);Задержка спада (us);СРЕДНЯЯ задержка спада (us);Длительность ответа (us);СРЕДНЯЯ длительность ответа (us)
929;11;47;9;20;250001;249975
930;7;47;17;20;250014;249975
931;15;47;18;20;250006;249975
932;15;47;9;20;249997;249975
933;15;47;9;20;249997;249975
934;15;47;9;20;249997;249975
935;7;47;17;20;250014;249976
936;15;47;374;20;250362;249976
937;15;47;18;20;250006;249976
938;12;47;9;20;249997;249976
939;15;47;18;20;250006;249976
940;16;47;13;20;250001;249976
941;15;47;9;20;249997;249976
942;11;47;18;20;250010;249976
943;15;47;9;20;249997;249976
944;7;47;13;20;250010;249976
945;20;47;14;20;249997;249976
946;20;46;67;20;250050;249976
947;15;46;59;20;250047;249976
948;12;46;66;20;250054;249976
949;11;46;42;20;250034;249976
950;15;46;30;21;250018;249977
951;12;46;33;21;250021;249977
952;20;46;22;21;250005;249977
953;15;46;987;22;250975;249978
954;16;46;9;22;249997;249978
955;11;46;14;22;250006;249978
956;16;46;9;21;249997;249978
957;15;46;18;21;250006;249978
958;15;46;18;21;250006;249978
959;20;46;18;21;250001;249978
960;20;46;14;21;249997;249978
961;15;46;14;21;250002;249978
962;20;46;9;21;249992;249978
963;7;46;13;21;250006;249978
964;15;46;9;21;249997;249978
965;15;46;14;21;250002;249978
966;12;46;13;21;250001;249978
967;15;46;14;21;250002;249978
968;16;46;17;21;250005;249978
969;15;46;18;21;250006;249978
970;11;46;18;21;250010;249978
971;15;46;22;21;250010;249978
972;15;46;18;21;250006;249978
973;11;46;9;21;250001;249978
974;15;46;18;21;250006;249978
975;15;46;9;21;249997;249978
976;15;45;9;21;249997;249978
977;15;45;14;21;250002;249978
978;20;45;18;21;250001;249978
979;15;45;14;21;250002;249978
980;11;45;14;21;250006;249978
981;12;45;17;21;250005;249978
982;7;45;9;21;250006;249978
983;15;45;14;21;250002;249978
984;11;45;14;21;250006;249978
985;15;45;14;21;250002;249978
986;15;45;14;21;250002;249978
987;20;45;18;21;250001;249978
988;12;45;13;21;250001;249979
